header_id,width,height,filename,folder,scene
00001472,400,266,ADE_train_00001472.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/apse__indoor,"['indoor', 'cultural', 'apse indoor']"
00001473,466,595,ADE_train_00001473.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/apse__indoor,"['indoor', 'cultural', 'apse indoor']"
00001474,400,295,ADE_train_00001474.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/apse__indoor,"['indoor', 'cultural', 'apse indoor']"
00001475,189,235,ADE_train_00001475.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/apse__indoor,"['indoor', 'cultural', 'apse indoor']"
00001476,500,485,ADE_train_00001476.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/apse__indoor,"['indoor', 'cultural', 'apse indoor']"
00001477,350,233,ADE_train_00001477.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/apse__indoor,"['indoor', 'cultural', 'apse indoor']"
00001478,200,250,ADE_train_00001478.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/apse__indoor,"['indoor', 'cultural', 'apse indoor']"
00001479,600,450,ADE_train_00001479.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/apse__indoor,"['indoor', 'cultural', 'apse indoor']"
00001480,400,300,ADE_train_00001480.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/apse__indoor,"['indoor', 'cultural', 'apse indoor']"
00001481,800,697,ADE_train_00001481.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/apse__indoor,"['indoor', 'cultural', 'apse indoor']"
00000007,728,485,ADE_frame_00000007.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/aquarium,"['indoor', 'cultural', 'aquarium']"
00001488,500,375,ADE_train_00001488.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/aquarium,"['indoor', 'cultural', 'aquarium']"
00001489,600,300,ADE_train_00001489.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/aquarium,"['indoor', 'cultural', 'aquarium']"
00001490,410,289,ADE_train_00001490.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/aquarium,"['indoor', 'cultural', 'aquarium']"
00001491,640,480,ADE_train_00001491.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/aquarium,"['indoor', 'cultural', 'aquarium']"
00001492,400,535,ADE_train_00001492.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/aquarium,"['indoor', 'cultural', 'aquarium']"
00001493,500,375,ADE_train_00001493.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/aquarium,"['indoor', 'cultural', 'aquarium']"
00001494,800,533,ADE_train_00001494.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/aquarium,"['indoor', 'cultural', 'aquarium']"
00001495,500,320,ADE_train_00001495.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/aquarium,"['indoor', 'cultural', 'aquarium']"
00020233,420,315,ADE_train_00020233.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/aquarium,"['indoor', 'cultural', 'aquarium']"
00022632,1024,681,ADE_train_00022632.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/aquarium,"['indoor', 'cultural', 'aquarium']"
00022633,1200,797,ADE_train_00022633.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/aquarium,"['indoor', 'cultural', 'aquarium']"
00022634,1024,683,ADE_train_00022634.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/aquarium,"['indoor', 'cultural', 'aquarium']"
00022635,1024,768,ADE_train_00022635.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/aquarium,"['indoor', 'cultural', 'aquarium']"
00022636,1024,768,ADE_train_00022636.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/aquarium,"['indoor', 'cultural', 'aquarium']"
00001522,1473,2200,ADE_train_00001522.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/arcade,"['indoor', 'cultural', 'arcade']"
00001523,2200,1650,ADE_train_00001523.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/arcade,"['indoor', 'cultural', 'arcade']"
00001524,1473,2200,ADE_train_00001524.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/arcade,"['indoor', 'cultural', 'arcade']"
00001525,1473,2200,ADE_train_00001525.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/arcade,"['indoor', 'cultural', 'arcade']"
00001526,1473,2200,ADE_train_00001526.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/arcade,"['indoor', 'cultural', 'arcade']"
00022645,768,1024,ADE_train_00022645.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/arcade,"['indoor', 'cultural', 'arcade']"
00022646,667,1000,ADE_train_00022646.jpg,ADE20K_2021_17_01/images/ADE/training/cultural/arcade,"['indoor', 'cultural', 'arcade']"
